timestamp,username,ip_address,user_agent,location,login_success,is_fraud,login_attempts_1h,ip_changes_24h,user_agent_mismatch,time_since_last_login,location_change,mouse_velocity,mouse_distance,keystroke_dwell,keystroke_flight
2025-05-03 15:11:00.391196,user_1,192.168.1.2,Safari-Desktop,US,1,1.0,0,1,0,-10045.999855883334,1,898.9851899407961,7316.593429854259,32.66737636137567,144.92665311682867
2025-05-03 16:42:00.385307,user_1,192.168.1.10,Safari-Desktop,DE,1,0.0,0,2,0,-9954.999954033332,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-03 18:08:00.392264,user_1,192.168.1.12,Safari-Mobile,US,1,0.0,0,3,1,-9868.999838083333,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-03 22:52:00.393587,user_1,192.168.1.7,Chrome-Desktop,DE,1,0.0,0,4,1,-9584.999816033333,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-03 23:32:00.390149,user_1,192.168.1.10,Chrome-Desktop,UK,1,0.0,1,5,1,-9544.999873333332,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-03 23:40:00.391975,user_1,192.168.1.13,Chrome-Mobile,UK,1,0.0,2,6,1,-9536.9998429,0,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-04 01:25:00.386402,user_1,192.168.1.35,Safari-Mobile,US,1,0.0,2,7,1,-9431.999935783333,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-04 02:39:00.392999,user_1,192.168.1.48,Safari-Desktop,IN,1,0.0,2,8,0,-9357.999825833334,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-04 05:18:00.383665,user_1,192.168.1.27,Firefox-Mobile,UK,1,0.0,2,9,1,-9198.9999814,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-04 05:40:00.386893,user_1,192.168.1.37,Firefox-Desktop,UK,0,0.0,3,10,1,0.0,0,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-04 06:14:00.394533,user_1,192.168.1.47,Firefox-Mobile,DE,0,0.0,4,11,1,0.0,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-04 07:30:00.389512,user_1,192.168.1.16,Firefox-Mobile,UK,1,0.0,4,12,1,-9066.999883949999,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-04 11:35:00.394014,user_1,192.168.1.35,Chrome-Mobile,US,1,0.0,4,13,1,-8821.999808916667,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-04 13:56:00.385347,user_1,192.168.1.24,Firefox-Mobile,US,0,0.0,4,14,1,0.0,0,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-04 15:26:00.392600,user_1,192.168.1.14,Chrome-Mobile,UK,1,0.0,4,15,1,-8590.999832483334,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-04 22:16:00.383211,user_1,192.168.1.25,Chrome-Desktop,US,1,0.0,4,16,1,-8180.999988966667,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 02:32:00.393780,user_1,192.168.1.47,Safari-Desktop,IN,1,0.0,4,17,0,-7924.999812816666,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 04:01:00.383477,user_1,192.168.1.22,Chrome-Mobile,SG,1,0.0,4,18,1,-7835.999984533333,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 06:22:00.394655,user_1,192.168.1.34,Chrome-Desktop,US,1,0.0,4,19,1,-7694.999798233333,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 07:32:00.391998,user_1,192.168.1.5,Chrome-Desktop,IN,1,0.0,4,20,1,-7624.999842516667,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 08:14:00.387609,user_1,192.168.1.27,Firefox-Desktop,SG,1,0.0,5,21,1,-7582.999915666666,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 11:05:00.392739,user_1,192.168.1.36,Chrome-Mobile,SG,1,0.0,5,22,1,-7411.9998301666665,0,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 11:50:00.384036,user_1,192.168.1.7,Chrome-Desktop,US,1,0.0,6,23,1,-7366.999975216667,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 13:46:00.388414,user_1,192.168.1.32,Safari-Mobile,US,1,0.0,6,24,1,-7250.99990225,0,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 14:06:00.395944,user_1,192.168.1.37,Safari-Mobile,IN,1,0.0,7,25,1,-7230.99977675,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 15:01:00.383931,user_1,192.168.1.22,Firefox-Mobile,UK,1,0.0,8,26,1,-7175.9999769666665,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 15:23:00.385315,user_1,192.168.1.44,Safari-Desktop,SG,0,0.0,9,27,0,0.0,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 16:30:00.385428,user_1,192.168.1.5,Safari-Desktop,US,1,0.0,9,28,0,-7086.999952016667,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 18:42:00.388663,user_1,192.168.1.23,Chrome-Desktop,UK,1,0.0,9,29,1,-6954.9998981,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-05 22:54:00.383335,user_1,192.168.1.8,Chrome-Mobile,US,0,0.0,9,30,1,0.0,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-06 03:00:00.390338,user_1,192.168.1.8,Chrome-Desktop,DE,1,0.0,9,30,1,-6456.999870183334,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-06 06:45:00.393176,user_1,192.168.1.11,Firefox-Desktop,IN,1,0.0,9,31,1,-6231.999822883333,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-06 06:58:00.392664,user_1,192.168.1.7,Firefox-Desktop,UK,1,0.0,10,32,1,-6218.999831416667,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-06 09:01:00.383167,user_1,192.168.1.50,Safari-Desktop,UK,1,0.0,10,33,0,-6095.9999897,0,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-06 09:39:00.391669,user_1,192.168.1.46,Chrome-Mobile,UK,1,0.0,11,34,1,-6057.999848,0,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-06 13:39:00.394419,user_1,192.168.1.8,Firefox-Desktop,IN,1,0.0,11,35,1,-5817.999802166667,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-06 15:15:00.388446,user_1,192.168.1.28,Safari-Desktop,IN,1,0.0,11,36,0,-5721.9999017166665,0,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-06 18:15:00.390252,user_1,192.168.1.40,Firefox-Desktop,SG,1,0.0,11,37,1,-5541.999871616667,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-06 19:42:00.391440,user_1,192.168.1.43,Firefox-Mobile,UK,1,0.0,11,38,1,-5454.999851816667,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-06 21:59:00.390452,user_1,192.168.1.24,Firefox-Mobile,IN,1,0.0,11,39,1,-5317.999868283334,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-07 03:39:00.382867,user_1,192.168.1.34,Safari-Desktop,SG,1,0.0,11,40,0,-4977.999994700001,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-07 05:40:00.387779,user_1,192.168.1.46,Safari-Mobile,DE,1,0.0,11,41,1,-4856.999912833333,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-07 07:45:00.389117,user_1,192.168.1.30,Safari-Desktop,US,1,0.0,11,42,0,-4731.999890533333,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-07 09:20:00.385393,user_1,192.168.1.50,Safari-Desktop,IN,1,0.0,11,43,0,-4636.9999526,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-07 09:52:00.394369,user_1,192.168.1.18,Safari-Desktop,US,1,0.0,12,44,0,-4604.999803,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
2025-05-07 12:12:00.382860,user_1,192.168.1.8,Safari-Mobile,IN,1,0.0,12,45,1,-4464.999994816667,1,254.8026302097935,2262.1459405724227,95.93165979267224,51.63550171786733
